日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,volatility
2010-01-04,601001,46.32,45.5,46.52,45.47,39486,178190883.0,2.3,-0.46,-0.21,0.47,1.0500000000000043
2010-01-05,601001,46.23,47.26,47.42,46.04,109674,505653398.0,3.03,3.87,1.76,1.31,1.3800000000000026
2010-01-06,601001,47.61,47.93,49.55,47.26,144879,695135849.0,4.85,1.42,0.67,1.73,2.289999999999999
2010-01-07,601001,48.47,46.99,48.91,46.73,98283,462823186.0,4.55,-1.96,-0.94,1.17,2.1799999999999997
2010-01-08,601001,46.84,45.92,46.84,44.99,108174,488328370.0,3.94,-2.28,-1.07,1.29,1.8500000000000014
2010-01-11,601001,47.69,45.21,47.69,45.03,71207,320108032.0,5.79,-1.55,-0.71,0.85,2.6599999999999966
2010-01-12,601001,45.31,45.57,45.59,43.87,109215,479536562.0,3.8,0.8,0.36,1.31,1.720000000000006
2010-01-13,601001,44.49,42.51,44.49,42.27,201376,855917318.0,4.87,-6.71,-3.06,2.41,2.219999999999999
2010-01-14,601001,42.92,43.16,43.22,41.48,158730,659158235.0,4.09,1.53,0.65,1.9,1.740000000000002
2010-01-15,601001,42.72,42.8,43.0,41.92,100674,420771882.0,2.5,-0.83,-0.36,1.2,1.0799999999999983
2010-01-18,601001,42.42,42.44,42.47,41.87,103562,428704551.0,1.4,-0.84,-0.36,1.24,0.6000000000000014
2010-01-19,601001,42.57,43.06,43.82,42.57,95747,406777563.0,2.95,1.46,0.62,1.14,1.25
2010-01-20,601001,43.33,41.35,43.45,41.12,110559,453377501.0,5.41,-3.97,-1.71,1.32,2.3300000000000054
2010-01-21,601001,41.13,40.45,41.51,39.81,91575,363894838.0,4.11,-2.18,-0.9,1.09,1.6999999999999957
2010-01-22,601001,39.6,38.86,39.6,37.7,127860,484806749.0,4.7,-3.93,-1.59,1.53,1.8999999999999986
2010-01-25,601001,38.77,38.61,39.21,37.99,53894,205291210.0,3.14,-0.64,-0.25,0.64,1.2199999999999989
2010-01-26,601001,38.72,36.76,38.92,36.32,107344,389839124.0,6.73,-4.79,-1.85,1.28,2.6000000000000014
2010-01-27,601001,36.82,37.26,38.69,36.03,123739,454385471.0,7.24,1.36,0.5,1.48,2.6599999999999966
2010-01-28,601001,37.32,37.58,37.92,36.72,77114,283206161.0,3.22,0.86,0.32,0.92,1.2000000000000028
2010-01-29,601001,37.28,37.1,38.08,36.84,70767,259827929.0,3.3,-1.28,-0.48,0.85,1.2399999999999949
2010-02-01,601001,36.6,35.0,36.6,34.5,142115,489142683.0,5.66,-5.66,-2.1,1.7,2.1000000000000014
2010-02-02,601001,35.62,34.99,36.12,34.9,127530,444109687.0,3.49,-0.03,-0.01,1.52,1.2199999999999989
2010-02-03,601001,35.62,37.91,38.17,34.53,167708,598009265.0,10.4,8.35,2.92,2.0,3.6400000000000006
2010-02-04,601001,37.12,36.6,37.32,36.52,130438,470796989.0,2.11,-3.46,-1.31,1.56,0.7999999999999972
2010-02-05,601001,34.82,35.01,35.56,34.62,125124,428483089.0,2.57,-4.34,-1.59,1.5,0.9400000000000048
2010-02-08,601001,35.02,35.37,35.8,34.8,66402,229523312.0,2.86,1.03,0.36,0.79,1.0
2010-02-09,601001,35.43,35.54,35.85,35.22,63437,220880939.0,1.78,0.48,0.17,0.76,0.6300000000000026
2010-02-10,601001,36.35,36.01,36.38,35.7,70462,248806750.0,1.91,1.32,0.47,0.84,0.6799999999999997
2010-02-11,601001,36.31,35.99,36.31,35.78,49316,174369688.0,1.47,-0.06,-0.02,0.59,0.5300000000000011
