date,code,action,price,shares,value,cost,hold_days
2020-03-25,000001,buy,2197.52,22.752921475117404,50000.0,50.0,0
2020-03-25,601088,buy,26.3,1901.1406844106464,50000.0,50.0,0
2020-03-27,000002,buy,4154.9,21.658764350525885,89990.0,89.99,0
2020-03-30,000983,buy,35.21,2299.9716273785857,80982.001,80.98200100000001,0
2020-03-31,601001,buy,9.26,7869.94629588553,72875.70269990001,72.8757026999,0
2020-04-09,601898,buy,5.24,12515.428408328245,65580.84485964001,65.58084485964001,0
2020-05-22,000001,sell,2270.65,22.752921475117404,51663.92114747533,51.663921147475335,58
2020-05-29,000001,buy,2254.08,28.471672705415443,64177.42801182284,64.17742801182284,0
2020-07-01,000002,sell,4084.21,21.658764350525885,88458.94194806133,88.45894194806134,96
2020-07-03,000002,buy,4407.55,15.108238311182111,66590.31576845072,66.59031576845072,0
2020-07-06,000001,sell,2512.49,28.471672705415443,71534.79295562924,71.53479295562924,38
2020-07-06,000002,sell,4492.64,15.108238311182111,67875.8757663492,67.8758757663492,3
2020-07-06,601001,sell,11.939999999999998,7869.94629588553,93967.15877287321,93.96715877287322,97
2020-07-08,000001,buy,2614.89,10.610907804504777,27746.356708921496,27.746356708921496,0
2020-07-08,000002,buy,4623.55,6.0010936853546495,27746.356708921492,27.746356708921493,0
2020-07-08,601001,buy,12.62,2198.6019579177096,27746.356708921492,27.746356708921493,0
2020-07-09,601001,sell,13.12,2198.6019579177096,28845.657687880346,28.845657687880347,1
2020-07-10,000001,sell,2634.39,10.610907804504777,27953.269411109337,27.95326941110934,2
2020-07-10,000002,sell,4586.9,6.0010936853546495,27526.41662535324,27.52641662535324,2
2020-07-13,601001,buy,13.16,6332.138377290062,83330.94104513721,83.33094104513721,0
2020-07-16,000983,sell,40.25,2299.9716273785857,92573.85800198808,92.57385800198807,108
2020-07-21,000001,buy,2525.5,16.67741878062118,42118.8211304588,42.1188211304588,0
2020-07-21,000983,buy,40.06,1051.3934381043132,42118.82113045879,42.11882113045879,0
2020-07-24,000001,sell,2410.1,16.67741878062118,40194.24700317511,40.19424700317511,3
2020-07-30,000001,buy,2333.71,34.20341839655181,79820.85954621693,79.82085954621694,0
2020-08-05,000002,buy,4257.01,16.873531306161038,71830.7915056406,71.8307915056406,0
2020-08-20,000001,sell,2579.13,34.20341839655181,88215.06248909868,88.21506248909868,21
2020-08-31,000001,buy,2626.26,27.968751768136798,73453.21401858695,73.45321401858695,0
2020-09-24,000001,sell,2673.4,27.968751768136798,74771.66097693692,74.77166097693693,24
2020-10-13,000001,buy,2723.78,27.01034453110104,73570.2362269224,73.5702362269224,0
2020-10-19,000983,sell,46.09,1051.3934381043132,48458.7235622278,48.4587235622278,90
2020-10-23,000983,buy,42.78,1660.7499313808794,71046.88206447402,71.04688206447402,0
2020-10-26,601001,sell,12.240000000000002,6332.138377290062,77505.37373803036,77.50537373803037,105
2020-11-05,601001,buy,12.06,5943.4391381632995,71677.8760062494,71.67787600624939,0
2020-11-23,601001,sell,12.98,5943.4391381632995,77145.84001335963,77.14584001335963,18
2020-11-25,601001,buy,14.62,4939.110125537514,72209.79003535846,72.20979003535845,0
2020-12-01,000983,sell,47.84,1660.7499313808794,79450.27671726128,79.45027671726127,39
2020-12-03,000983,buy,49.66,1468.3582903115885,72918.67269687347,72.91867269687347,0
2020-12-14,000983,sell,47.19,1468.3582903115885,69291.82771980386,69.29182771980386,11
2020-12-14,601001,sell,13.26,4939.110125537514,65492.600264627436,65.49260026462744,19
2020-12-14,601088,sell,29.77,1901.1406844106464,56596.95817490494,56.59695817490494,264
2020-12-14,601898,sell,5.66,12515.428408328245,70837.32479113787,70.83732479113787,249
2020-12-17,000983,buy,46.09,1992.0842435206941,91815.1627838688,91.8151627838688,0
2020-12-18,601001,buy,13.46,3069.259472110087,41312.23249460177,41.31223249460177,0
2020-12-18,601898,buy,5.75,7184.736086017699,41312.23249460177,41.31223249460177,0
2020-12-21,601088,buy,30.91,2405.4919457710857,74353.75604378426,74.35375604378426,0
2020-12-22,000983,sell,49.14,1992.0842435206941,97891.01972660692,97.89101972660691,5
2020-12-24,601001,sell,14.22,3069.259472110087,43644.86969340544,43.64486969340544,6
2020-12-28,000983,buy,48.75,831.285952993443,40525.190208430344,40.525190208430345,0
2020-12-28,601001,buy,14.740000000000002,2749.3344781838764,40525.190208430344,40.525190208430345,0
2020-12-29,601001,sell,15.6,2749.3344781838764,42889.61785966847,42.88961785966847,1
2021-01-05,601001,buy,14.68,5260.348103631732,77221.91016131382,77.22191016131382,0
2021-01-06,000001,sell,3078.09,27.01034453110104,83140.27139773681,83.14027139773681,85
2021-01-07,601898,sell,5.64,7184.736086017699,40521.91152513982,40.52191152513982,20
2021-01-08,000001,buy,3373.89,24.25860031837484,81845.84902816168,81.84584902816168,0
2021-01-11,000983,sell,51.28,831.285952993443,42628.34366950375,42.62834366950376,14
2021-01-11,601001,sell,13.62,5260.348103631732,71645.94117146418,71.64594117146417,6
2021-01-11,601898,buy,6.0,14178.180099342566,85069.0805960554,85.0690805960554,0
2021-01-12,601898,sell,5.81,14178.180099342566,82375.2263771803,82.3752263771803,1
2021-01-14,601898,buy,6.12,13853.423324096499,84782.95074347057,84.78295074347058,0
2021-02-02,000001,sell,3939.49,24.25860031837484,95566.51336823449,95.5665133682345,25
2021-02-10,000983,buy,42.2,2034.2007597046393,85843.27205953578,85.84327205953578,0
2021-02-18,000983,sell,42.85,2034.2007597046393,87165.5025533438,87.1655025533438,8
2021-02-22,000983,buy,46.16,931.0896255573582,42979.09711572765,42.979097115727654,0
2021-02-22,601001,buy,11.939999999999998,3599.589373176521,42979.09711572765,42.979097115727654,0
2021-02-23,601001,sell,12.62,3599.589373176521,45426.81788948769,45.426817889487694,1
2021-02-24,601001,buy,12.259999999999998,6679.601802287638,81891.91809604643,81.89191809604642,0
2021-02-25,601898,sell,6.1,13853.423324096499,84505.88227698863,84.50588227698863,42
2021-03-01,601898,buy,6.45,12734.368175829979,82136.67473410336,82.13667473410337,0
2021-03-05,000001,buy,3828.97,19.304093161664785,73914.79359321961,73.91479359321961,0
2021-03-08,000001,sell,3786.71,19.304093161664785,73099.00261620765,73.09900261620766,3
2021-03-15,000001,buy,3617.68,20.404931645667244,73818.51311589747,73.81851311589747,0
2021-03-19,000002,sell,5044.64,16.873531306161038,85120.89096831222,85.12089096831222,226
2021-03-19,601898,sell,6.44,12734.368175829979,82009.33105234506,82.00933105234506,18
2021-03-22,000001,sell,3479.53,20.404931645667244,70999.57180904855,70.99957180904855,7
2021-03-23,601001,sell,12.38,6679.601802287638,82693.47031232096,82.69347031232097,27
2021-03-23,601898,buy,6.8,14482.282947174206,98479.5240407846,98.4795240407846,0
2021-03-25,601898,sell,6.61,14482.282947174206,95727.8902808215,95.72789028082151,2
2021-03-29,601088,sell,31.2,2405.4919457710857,75051.34870805788,75.05134870805787,98
2021-03-29,601898,buy,7.210000000000001,14657.77665177408,105682.56965929113,105.68256965929113,0
2021-03-30,000001,buy,3614.43,13.1561192824866,47551.87221819804,47.55187221819804,0
2021-03-30,000002,buy,4846.97,9.810638856481066,47551.872218198034,47.551872218198035,0
2021-03-31,601001,buy,12.1,3536.5231247236707,42791.92980915641,42.791929809156414,0
2021-03-31,601088,buy,31.89,1341.8604518393356,42791.92980915641,42.791929809156414,0
2021-04-12,601898,sell,8.0,14657.77665177408,117262.21321419264,117.26221321419264,14
2021-04-16,601001,sell,12.44,3536.5231247236707,43994.347671562464,43.994347671562466,16
