date,total
2020-03-11,1000000.0
2020-03-12,1000000.0
2020-03-13,1000000.0
2020-03-16,1000000.0
2020-03-17,1000000.0
2020-03-18,1000000.0
2020-03-19,1000000.0
2020-03-20,1000000.0
2020-03-23,999805.0050000001
2020-03-24,1003581.0050000001
2020-03-25,1006745.4770000002
2020-03-26,1005884.6670000001
2020-03-27,1004940.6670000001
2020-03-30,1002049.6670000001
2020-03-31,1001258.2770000002
2020-04-01,995283.1430000003
2020-04-02,990784.1430000003
2020-04-03,1016413.1430000003
2020-04-07,1021993.1430000003
2020-04-08,1030164.5200000003
2020-04-09,1038672.5200000003
2020-04-10,1041627.9790000003
2020-04-13,1012748.9790000003
2020-04-14,1014642.9790000003
2020-04-15,1021318.9790000003
2020-04-16,1007528.9790000003
2020-04-17,806350.9790000003
2020-04-20,816527.9790000003
2020-04-21,817675.9790000003
2020-04-22,816293.9790000003
2020-04-23,821858.2260000004
2020-04-24,803058.2260000004
2020-04-27,800904.2260000004
2020-04-28,791573.2260000004
2020-04-29,778477.2260000004
2020-04-30,1024897.2260000004
2020-05-06,1006120.2260000004
2020-05-07,1042202.8610000004
2020-05-08,1049326.8610000005
2020-05-11,1055915.8610000005
2020-05-12,1059682.8610000005
2020-05-13,1061253.8610000005
2020-05-14,1070916.8610000005
2020-05-15,1068997.8610000005
2020-05-18,1079741.8610000005
2020-05-19,1076784.6840000004
2020-05-20,1072694.6840000004
2020-05-21,1058721.6840000004
2020-05-22,1050448.6840000004
2020-05-25,1037836.6840000004
2020-05-26,1047779.6840000006
2020-05-27,1053115.2530000005
2020-05-28,1043274.2530000005
2020-05-29,1044659.2530000005
2020-06-01,1049938.2530000005
2020-06-02,1057645.2530000005
2020-06-03,1053231.2530000005
2020-06-04,1058475.2530000005
2020-06-05,1067105.9410000006
2020-06-08,1053709.3470000005
2020-06-09,1036236.3470000005
2020-06-10,1037713.3470000005
2020-06-11,1044916.3470000005
2020-06-12,1020855.3470000005
2020-06-15,1028783.3470000005
2020-06-16,1028271.3470000005
2020-06-17,1053141.3280000004
2020-06-18,1035621.3280000004
2020-06-19,1033354.3280000004
2020-06-22,1033818.3280000004
2020-06-23,1027470.3280000004
2020-06-24,1028600.3280000004
2020-06-29,1025814.3280000004
2020-06-30,1047000.3280000004
2020-07-01,1054131.3280000004
2020-07-02,1061335.3280000004
2020-07-03,1069535.3280000004
2020-07-06,1073864.3280000004
2020-07-07,1103499.3280000004
2020-07-08,1107111.3280000004
2020-07-09,1146587.3280000004
2020-07-10,1200089.4180000005
2020-07-13,1184507.6530000004
2020-07-14,1201359.6530000004
2020-07-15,1191647.6530000004
2020-07-16,1186453.8850000005
2020-07-17,1172667.9910000004
2020-07-20,1178597.9910000004
2020-07-21,1199203.7190000005
2020-07-22,1195597.7190000005
2020-07-23,1206429.7190000005
2020-07-24,1241081.7190000005
2020-07-27,1175617.7190000005
2020-07-28,1190107.3900000004
2020-07-29,1198445.3900000004
2020-07-30,1238979.3900000004
2020-07-31,1228449.3900000004
2020-08-03,1259009.1900000004
2020-08-04,1261302.1900000004
2020-08-05,1239521.1900000004
2020-08-06,1252950.1900000004
2020-08-07,1253570.7600000005
2020-08-10,1238948.4100000004
2020-08-11,1245238.4100000004
2020-08-12,1234500.4100000004
2020-08-13,1228130.4100000004
2020-08-14,1224904.4100000004
2020-08-17,1229563.4100000004
2020-08-18,1245346.6820000005
2020-08-19,1246757.6820000005
2020-08-20,1218966.6820000005
2020-08-21,1234250.6820000005
2020-08-24,1220590.6820000005
2020-08-25,1214929.6820000005
2020-08-26,1200307.6820000005
2020-08-27,1177658.6820000005
2020-08-28,1174836.6820000005
2020-08-31,1211038.6820000005
2020-09-01,1196933.6820000005
2020-09-02,1184196.6820000005
2020-09-03,1188039.6820000005
2020-09-04,1150185.6820000005
2020-09-07,1171654.6820000005
2020-09-08,1169199.6820000005
2020-09-09,1170556.6820000005
2020-09-10,1180977.6820000005
2020-09-11,1138365.6820000005
2020-09-14,1158424.6820000005
2020-09-15,1163235.6820000005
2020-09-16,1146261.6820000005
2020-09-17,1151964.6820000005
2020-09-18,1157919.6820000005
2020-09-21,1172720.6820000005
2020-09-22,1154280.6820000005
2020-09-23,1143912.6820000005
2020-09-24,1147210.6820000005
2020-09-25,1135062.6820000005
2020-09-28,1116090.6820000005
2020-09-29,1101240.6820000005
2020-09-30,1115719.6820000005
2020-10-09,1139283.6820000005
2020-10-12,1155638.6820000005
2020-10-13,1184751.6000000006
2020-10-14,1184879.6000000006
2020-10-15,1187508.6000000006
2020-10-16,1164124.6000000006
2020-10-19,1165724.6000000006
2020-10-20,1157260.3910000005
2020-10-21,1180229.3910000005
2020-10-22,1126541.3910000005
2020-10-23,1125998.3910000005
2020-10-26,1113574.3910000005
2020-10-27,1112596.3910000005
2020-10-28,863253.3910000005
2020-10-29,1120362.3910000005
2020-10-30,1108708.3910000005
2020-11-02,1070753.3910000005
2020-11-03,1093938.3910000005
2020-11-04,1101600.3910000005
2020-11-05,1101339.3910000005
2020-11-06,1155090.3910000005
2020-11-09,1150166.3910000005
2020-11-10,1167117.3910000005
2020-11-11,1145351.3910000005
2020-11-12,1158821.3910000005
2020-11-13,1132091.3910000005
2020-11-16,1132305.3910000005
2020-11-17,1164876.3910000005
2020-11-18,1146380.3910000005
2020-11-19,1156010.3910000005
2020-11-20,1180599.3910000005
2020-11-23,1176025.3910000005
2020-11-24,1194141.3910000005
2020-11-25,1210513.3910000005
2020-11-26,1213313.3910000005
2020-11-27,1201968.3910000005
2020-11-30,1189182.3910000005
2020-12-01,1191987.3910000005
2020-12-02,1198394.3910000005
2020-12-03,1206460.3910000005
2020-12-04,1190208.3910000005
2020-12-07,1206587.3910000005
2020-12-08,1205855.3910000005
2020-12-09,1195159.3910000005
2020-12-10,1187341.3910000005
2020-12-11,1197227.3910000005
2020-12-14,1173294.3910000005
2020-12-15,1173686.3910000005
2020-12-16,1173156.3910000005
2020-12-17,1174630.5970000005
2020-12-18,1194100.5970000005
2020-12-21,1185259.5970000005
2020-12-22,1200107.5970000005
2020-12-23,1183261.5970000005
2020-12-24,1174947.5970000005
2020-12-25,1150329.5970000005
2020-12-28,1158773.5970000005
2020-12-29,1128942.5970000005
2020-12-30,1190265.8770000003
2020-12-31,1182512.1450000005
2021-01-04,1194026.1450000005
2021-01-05,1204703.1450000005
2021-01-06,1198536.1450000005
2021-01-07,1192901.1450000005
2021-01-08,1183199.2980000007
2021-01-11,1167809.2980000007
2021-01-12,1141940.2980000007
2021-01-13,1138015.2980000007
2021-01-14,1136712.2980000007
2021-01-15,1147968.2980000007
2021-01-18,1163315.2980000007
2021-01-19,1175158.2980000007
2021-01-20,1183279.2980000007
2021-01-21,1189120.2980000007
2021-01-22,1168129.2980000007
2021-01-25,1157481.2980000007
2021-01-26,1157417.2980000007
2021-01-27,1136564.2980000007
2021-01-28,1136021.2980000007
2021-01-29,1142202.2980000007
2021-02-01,1135592.2980000007
2021-02-02,1130836.2980000007
2021-02-03,1130682.2980000007
2021-02-04,1106966.8380000007
2021-02-05,1098241.9810000006
2021-02-08,1094758.9810000006
2021-02-09,1102494.9810000006
2021-02-10,1100279.9810000006
2021-02-18,1131828.0790000006
2021-02-19,1153206.5400000007
2021-02-22,1162331.6980000008
2021-02-23,1165413.0980000007
2021-02-24,1182378.0980000007
2021-02-25,1172645.0980000007
2021-02-26,1161505.9330000007
2021-03-01,1199065.9330000007
2021-03-02,1214970.9330000007
2021-03-03,1191671.9330000007
2021-03-04,1196061.9330000007
2021-03-05,1169849.4740000009
2021-03-08,1178721.4740000009
2021-03-09,1173787.4740000009
2021-03-10,1149757.4740000009
2021-03-11,1138312.4740000009
2021-03-12,1202913.4740000009
2021-03-15,1203144.4740000009
2021-03-16,1193100.4740000009
2021-03-17,1220447.4740000009
2021-03-18,1210153.4740000009
2021-03-19,1247645.4740000009
