date,code,action,price,shares,value,cash_after
2020-03-23,000612,buy,33.05,5900,194994.99999999997,804810.0050000001
2020-03-25,600149,buy,14.08,14100,198528.0,606083.4770000002
2020-03-26,600149,sell,14.1,14100,198810.0,804694.6670000001
2020-03-31,600678,buy,22.01,9000,198090.0,606406.5770000002
2020-03-31,000158,buy,21.31,9300,198183.0,408025.3940000002
2020-03-31,002469,buy,36.16,5500,198879.99999999997,208946.51400000026
2020-03-31,000888,buy,32.17,6100,196237.0,12513.277000000293
2020-04-01,000612,sell,34.26,5900,202134.0,214445.1430000003
2020-04-08,000158,sell,22.11,9300,205623.0,419862.5200000003
2020-04-10,603569,buy,12.99,15900,206541.0,213114.97900000034
2020-04-23,300607,buy,118.09,1700,200753.0,12161.226000000373
2020-05-07,002469,sell,42.43,5500,233365.0,245292.86100000038
2020-05-19,600149,buy,14.33,16900,242177.0,2873.684000000416
2020-05-27,600149,sell,13.990000000000002,16900,236431.00000000003,239068.25300000043
2020-06-05,603398,buy,30.04,7800,234312.0,4521.941000000457
2020-06-08,000888,sell,31.28,6100,190808.0,195139.13300000047
2020-06-08,601908,buy,18.62,10300,191786.0,3161.3470000004745
2020-06-17,603569,sell,15.409999999999998,15900,245018.99999999997,247935.32800000045
2020-07-10,600678,sell,23.99,9000,215910.0,463629.4180000004
2020-07-13,300607,sell,160.45000000000002,1700,272765.0,736121.6530000004
2020-07-16,002194,buy,70.52,3400,239768.0,496113.8850000004
2020-07-17,601888,buy,366.49,600,219894.0,275999.99100000045
2020-07-21,000981,buy,7.280000000000001,37400,272272.00000000006,3455.71900000039
2020-07-28,601888,sell,410.49,600,246294.0,249503.4250000004
2020-07-28,002469,buy,44.37,5500,244035.0,5224.390000000421
2020-08-03,000981,sell,8.0,37400,299200.0,304125.1900000004
2020-08-07,002383,buy,60.7,4900,297430.0,6397.760000000417
2020-08-10,002383,sell,61.5,4900,301350.0,307446.41000000044
2020-08-18,601086,buy,6.56,46300,303728.0,3414.6820000004955
2020-10-13,603398,sell,32.19,7800,251081.99999999997,254245.60000000047
2020-10-20,603083,buy,40.69,6100,248209.0,5788.391000000498
2020-12-17,601908,sell,33.58,10300,345874.0,351316.51700000046
2020-12-17,603569,buy,12.39,28000,346920.0,4049.5970000004745
2020-12-30,603569,sell,12.739999999999998,28000,356719.99999999994,360412.87700000044
2020-12-31,603083,sell,30.12,6100,183732.0,543961.1450000005
2021-01-08,600149,buy,12.689999999999998,21100,267758.99999999994,275934.3860000006
2021-01-08,603398,buy,29.14,9200,268088.0,7578.298000000592
2021-02-04,601086,sell,4.2,46300,194460.0,201843.8380000006
2021-02-05,600644,buy,72.91,2700,196857.0,4789.981000000611
2021-02-18,600644,sell,76.26,2700,205902.0,210486.0790000006
