日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,volatility
2010-01-04,000002,1443.09,1410.36,1445.71,1410.36,969833,1034344768.0,2.46,-1.91,-27.49,1.0,35.350000000000136
2010-01-05,000002,1398.58,1378.94,1399.89,1358.0,1848621,1910014336.0,2.97,-2.23,-31.42,1.91,41.8900000000001
2010-01-06,000002,1377.63,1378.94,1398.58,1358.0,1358604,1405756544.0,2.94,0.0,0.0,1.41,40.57999999999993
2010-01-07,000002,1378.94,1368.47,1388.11,1363.23,1152442,1188788352.0,1.8,-0.76,-10.47,1.19,24.87999999999988
2010-01-08,000002,1368.47,1377.63,1381.56,1356.69,1085304,1117118336.0,1.82,0.67,9.16,1.12,24.86999999999989
2010-01-11,000002,1399.89,1355.38,1410.36,1342.29,1713006,1758363776.0,4.94,-1.62,-22.25,1.77,68.06999999999994
2010-01-12,000002,1348.83,1369.78,1380.25,1329.2,1520725,1548907904.0,3.77,1.06,14.4,1.57,51.049999999999955
2010-01-13,000002,1323.96,1337.05,1342.29,1317.41,1892792,1892537856.0,1.82,-2.39,-32.73,1.96,24.87999999999988
2010-01-14,000002,1337.05,1335.74,1342.29,1320.03,1192514,1192832640.0,1.66,-0.1,-1.31,1.23,22.25999999999999
2010-01-15,000002,1339.67,1350.14,1361.92,1337.05,1179248,1196520960.0,1.86,1.08,14.4,1.22,24.87000000000012
2010-01-18,000002,1350.14,1343.6,1356.69,1330.51,1251745,1259938048.0,1.94,-0.48,-6.54,1.3,26.180000000000064
2010-01-19,000002,1344.91,1339.67,1352.76,1335.74,1064044,1073060096.0,1.27,-0.29,-3.93,1.1,17.019999999999982
2010-01-20,000002,1342.29,1300.4,1344.91,1296.47,1737477,1719444736.0,3.62,-2.93,-39.27,1.8,48.440000000000055
2010-01-21,000002,1300.4,1305.63,1314.8,1283.38,1048285,1018079488.0,2.42,0.4,5.23,1.09,31.419999999999845
2010-01-22,000002,1289.92,1272.91,1296.47,1266.36,1125393,1079530112.0,2.31,-2.51,-32.72,1.17,30.110000000000127
2010-01-25,000002,1268.98,1268.98,1286.0,1259.81,601708,574865408.0,2.06,-0.31,-3.93,0.62,26.190000000000055
2010-01-26,000002,1268.98,1229.7,1278.14,1224.47,1055039,982443520.0,4.23,-3.1,-39.28,1.09,53.67000000000007
2010-01-27,000002,1233.63,1238.87,1261.12,1225.78,955004,888059776.0,2.87,0.75,9.17,0.99,35.33999999999992
2010-01-28,000002,1236.25,1254.58,1263.74,1225.78,840948,785287616.0,3.06,1.27,15.71,0.87,37.960000000000036
2010-01-29,000002,1246.72,1245.41,1270.29,1240.18,791507,745025152.0,2.4,-0.73,-9.17,0.82,30.1099999999999
2010-02-01,000002,1240.18,1254.58,1270.29,1212.69,978058,906407616.0,4.62,0.74,9.17,1.01,57.59999999999991
2010-02-02,000002,1257.2,1237.56,1272.91,1237.56,753918,709718272.0,2.82,-1.36,-17.02,0.78,35.350000000000136
2010-02-03,000002,1234.94,1259.81,1263.74,1217.92,818778,764874240.0,3.7,1.8,22.25,0.85,45.819999999999936
2010-02-04,000002,1253.27,1254.58,1270.29,1240.18,829513,781993664.0,2.39,-0.42,-5.23,0.86,30.1099999999999
2010-02-05,000002,1234.94,1227.09,1242.8,1220.54,688000,634905088.0,1.77,-2.19,-27.49,0.71,22.25999999999999
2010-02-08,000002,1225.78,1216.61,1229.7,1211.38,539592,492708832.0,1.49,-0.85,-10.48,0.56,18.319999999999936
2010-02-09,000002,1216.61,1212.69,1221.85,1204.83,449034,408068192.0,1.4,-0.32,-3.92,0.47,17.019999999999982
2010-02-10,000002,1219.23,1228.4,1232.32,1214.0,450542,412512576.0,1.51,1.3,15.71,0.47,18.319999999999936
2010-02-11,000002,1231.01,1237.56,1246.72,1224.47,529122,491716608.0,1.81,0.75,9.16,0.55,22.25
2010-02-12,000002,1249.34,1249.34,1249.34,1241.49,420578,393158624.0,0.63,0.95,11.78,0.44,7.849999999999909
2010-02-22,000002,1238.87,1234.94,1246.72,1233.63,347717,323271104.0,1.05,-1.15,-14.4,0.36,13.089999999999918
2010-02-23,000002,1236.25,1217.92,1236.25,1212.69,432175,394880000.0,1.91,-1.38,-17.02,0.45,23.559999999999945
2010-02-24,000002,1212.69,1231.01,1232.32,1207.45,479768,439426624.0,2.04,1.07,13.09,0.5,24.86999999999989
2010-02-25,000002,1237.56,1263.74,1266.36,1237.56,1032744,973324480.0,2.34,2.66,32.73,1.07,28.799999999999955
2010-02-26,000002,1265.05,1257.2,1268.98,1253.27,678204,642430592.0,1.24,-0.52,-6.54,0.7,15.710000000000036
2010-03-01,000002,1257.2,1258.51,1263.74,1245.41,708228,667199232.0,1.46,0.1,1.31,0.73,18.329999999999927
2010-03-02,000002,1259.81,1280.76,1287.31,1259.81,1315011,1262045952.0,2.19,1.77,22.25,1.36,27.5
2010-03-03,000002,1282.07,1276.83,1283.38,1266.36,795359,760263488.0,1.33,-0.31,-3.93,0.82,17.02000000000021
2010-03-04,000002,1275.52,1251.96,1291.23,1248.03,869293,830988608.0,3.38,-1.95,-24.87,0.9,43.200000000000045
2010-03-05,000002,1250.65,1248.03,1259.81,1240.18,563467,527428416.0,1.57,-0.31,-3.93,0.58,19.62999999999988
