日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,volatility
2010-01-04,3592.47,3535.23,3597.75,3535.23,66101080,93419838921.0,1.75,-1.13,-40.45,0.2,62.51999999999998
2010-01-05,3545.19,3564.04,3577.53,3497.66,85809641,128302442618.0,2.26,0.81,28.81,0.26,79.87000000000035
2010-01-06,3558.7,3541.73,3588.83,3541.17,78473125,121045989916.0,1.34,-0.63,-22.31,0.24,47.659999999999854
2010-01-07,3543.16,3471.46,3558.56,3452.77,80350037,120436166283.0,2.99,-1.98,-70.27,0.25,105.78999999999996
2010-01-08,3456.91,3480.13,3482.08,3426.7,60790253,90190959969.0,1.6,0.25,8.67,0.19,55.38000000000011
2010-01-11,3593.11,3482.05,3594.53,3465.32,89980172,134114001104.0,3.71,0.06,1.92,0.28,129.21000000000004
2010-01-12,3477.84,3534.92,3535.41,3437.66,93743278,134071416354.0,2.81,1.52,52.87,0.29,97.75
2010-01-13,3448.29,3421.14,3490.11,3415.69,112457901,159860384574.0,2.11,-3.22,-113.78,0.34,74.42000000000007
2010-01-14,3433.47,3469.05,3470.32,3411.81,83353252,118107870086.0,1.71,1.4,47.91,0.26,58.51000000000022
2010-01-15,3472.52,3482.74,3500.07,3448.66,72543102,104035175785.0,1.48,0.39,13.69,0.22,51.41000000000031
2010-01-18,3471.78,3500.68,3501.26,3458.04,82854307,117884258544.0,1.24,0.52,17.94,0.25,43.220000000000255
2010-01-19,3506.81,3507.48,3528.39,3497.09,74883232,108023525533.0,0.89,0.19,6.8,0.23,31.299999999999727
2010-01-20,3512.25,3394.43,3515.45,3387.82,92495146,128416164613.0,3.64,-3.22,-113.05,0.28,127.62999999999965
2010-01-21,3397.04,3408.57,3425.18,3364.72,70595068,100076607006.0,1.78,0.42,14.14,0.22,60.460000000000036
2010-01-22,3364.45,3366.2,3390.8,3293.19,88933404,119197815814.0,2.86,-1.24,-42.37,0.27,97.61000000000013
