日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,volatility
2012-04-10,300308,20.51,21.8,21.8,20.51,82199,172807382.0,6.45,9.0,1.8,61.39,1.2899999999999991
2012-04-11,300308,21.3,21.03,21.68,20.68,67512,142608100.0,4.59,-3.53,-0.77,50.42,1.0
2012-04-12,300308,21.26,20.71,21.44,20.1,54192,112258255.0,6.37,-1.52,-0.32,40.47,1.3399999999999999
2012-04-13,300308,20.62,21.04,21.49,20.5,51264,107666906.0,4.78,1.59,0.33,38.29,0.9899999999999984
2012-04-16,300308,20.5,20.19,20.59,19.81,37781,76049167.0,3.71,-4.04,-0.85,28.22,0.7800000000000011
2012-04-17,300308,20.09,19.97,20.32,19.72,23069,46252626.0,2.97,-1.09,-0.22,17.23,0.6000000000000014
2012-04-18,300308,20.09,20.34,20.39,19.85,30734,61990422.0,2.7,1.85,0.37,22.95,0.5399999999999991
2012-04-19,300308,20.21,20.37,20.95,20.2,24001,49244522.0,3.69,0.15,0.03,17.92,0.75
2012-04-20,300308,20.28,20.53,20.64,20.17,20153,41121623.0,2.31,0.79,0.16,15.05,0.46999999999999886
2012-04-23,300308,20.3,18.98,20.33,18.95,34285,66776067.0,6.72,-7.55,-1.55,25.61,1.379999999999999
2012-04-24,300308,18.96,18.68,19.19,18.28,16534,30951206.0,4.79,-1.58,-0.3,12.35,0.9100000000000001
2012-04-25,300308,19.0,19.18,19.34,18.81,13287,25415187.0,2.84,2.68,0.5,9.92,0.5300000000000011
2012-04-26,300308,19.12,19.18,19.48,19.04,11341,21828084.0,2.29,0.0,0.0,8.47,0.4400000000000013
2012-04-27,300308,19.13,19.35,19.61,19.13,11635,22587491.0,2.5,0.89,0.17,8.69,0.4800000000000004
2012-05-02,300308,19.77,19.62,19.95,19.43,11907,23459988.0,2.69,1.4,0.27,8.89,0.5199999999999996
2012-05-03,300308,19.53,19.68,19.86,19.5,8496,16731709.0,1.83,0.31,0.06,6.34,0.35999999999999943
2012-05-04,300308,19.68,20.0,20.01,19.62,14134,28033009.0,1.98,1.63,0.32,10.56,0.39000000000000057
2012-05-07,300308,20.13,20.0,20.13,19.76,11433,22738685.0,1.85,0.0,0.0,8.54,0.36999999999999744
