日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,volatility
2022-01-05,000001,2863.55,2956.19,2967.57,2858.68,1961998,3344124592.0,3.79,2.77,79.63,1.01,108.89000000000033
2022-01-06,000001,2949.69,2951.32,2975.7,2931.82,1107885,1896535840.0,1.48,-0.16,-4.87,0.57,43.879999999999654
2022-01-07,000001,2948.07,2964.32,2977.32,2941.57,1126631,1937710960.0,1.21,0.44,13.0,0.58,35.75
2022-01-10,000001,2978.95,2962.7,3000.08,2936.69,909774,1563414576.0,2.14,-0.05,-1.62,0.47,63.38999999999987
2022-01-11,000001,2974.07,2998.45,3019.58,2954.57,1581999,2752485392.0,2.19,1.21,35.75,0.82,65.00999999999976
2022-01-12,000001,2998.45,2931.82,3004.95,2915.56,1502164,2561266416.0,2.98,-2.22,-66.63,0.77,89.38999999999987
2022-01-13,000001,2917.19,2928.57,2970.82,2902.56,909423,1550319152.0,2.33,-0.11,-3.25,0.47,68.26000000000022
2022-01-14,000001,2931.82,2822.92,2935.07,2818.05,2103095,3459950800.0,4.0,-3.61,-105.65,1.08,117.01999999999998
2022-01-17,000001,2826.17,2805.04,2847.3,2788.79,1143689,1855633792.0,2.07,-0.63,-17.88,0.59,58.51000000000022
2022-01-18,000001,2809.92,2853.8,2857.05,2795.29,1152974,1891094608.0,2.2,1.74,48.76,0.59,61.76000000000022
2022-01-19,000001,2857.05,2850.55,2881.43,2827.8,988392,1630973584.0,1.88,-0.11,-3.25,0.51,53.629999999999654
2022-01-20,000001,2845.68,2985.45,3006.58,2837.55,3031194,5195805440.0,5.93,4.73,134.9,1.56,169.02999999999975
2022-01-21,000001,3004.95,2988.7,3022.83,2965.95,1481683,2575115120.0,1.91,0.11,3.25,0.76,56.88000000000011
2022-01-24,000001,2987.07,2964.32,2993.58,2928.57,874771,1501390336.0,2.18,-0.82,-24.38,0.45,65.00999999999976
2022-01-25,000001,2944.82,2907.44,2944.82,2900.94,1093284,1851999024.0,1.48,-1.92,-56.88,0.56,43.88000000000011
2022-01-26,000001,2923.69,2874.93,2948.07,2857.05,984975,1646384992.0,3.13,-1.12,-32.51,0.51,91.01999999999998
2022-01-27,000001,2850.55,2818.05,2857.05,2809.92,1024643,1677261296.0,1.64,-1.98,-56.88,0.53,47.13000000000011
2022-01-28,000001,2832.67,2741.66,2842.43,2740.03,1675564,2695470336.0,3.63,-2.71,-76.39,0.86,102.39999999999964
2022-02-07,000001,2772.54,2832.67,2835.92,2751.41,1515476,2451798480.0,3.08,3.32,91.01,0.78,84.51000000000022
2022-02-08,000001,2818.05,2904.19,2926.94,2811.55,1754695,2950309008.0,4.07,2.52,71.52,0.9,115.38999999999987
2022-02-09,000001,2918.81,2909.06,2931.82,2884.68,1051162,1774253632.0,1.62,0.17,4.87,0.54,47.14000000000033
2022-02-10,000001,2894.43,2930.19,2936.69,2878.18,784557,1326848944.0,2.01,0.73,21.13,0.4,58.51000000000022
2022-02-11,000001,2936.69,2948.07,2987.07,2936.69,1078139,1852167488.0,1.72,0.61,17.88,0.56,50.38000000000011
